endereco_mac,nome_usuario,percentual_uso_cpu,frequencia_cpu_atual_mhz,frequencia_cpu_minima_mhz,frequencia_cpu_maxima_mhz,memoria_total_bytes,memoria_disponivel_bytes,percentual_uso_ram,swap_total_bytes,swap_usado_bytes,swap_livre_bytes,swap_entrada_bytes,swap_saida_bytes,percentual_uso_swap,disco_total_bytes,disco_usado_bytes,disco_livre_bytes,percentual_uso_disco,taxa_leitura_disco_bytes_por_segundo,taxa_escrita_disco_bytes_por_segundo,latencia_ping_ms,taxa_download_rede_bytes_por_segundo,taxa_upload_rede_bytes_por_segundo,processos,data_hora_iso
94:52:f3:bd:62:d5,pholi,9.1,3600.0,0.0,3600.0,25633431552,17800511488,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553912532992,445250367488,55.4,0,45056,13,3259,2092,[],2026-04-16T19:42:59.146653
94:52:f3:bd:62:d5,pholi,4.0,3600.0,0.0,3600.0,25633431552,17803603968,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,49152,362496,11,23141,43,[],2026-04-16T19:43:01.466387
94:52:f3:bd:62:d5,pholi,2.2,3600.0,0.0,3600.0,25633431552,17804197888,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,36864,13,423,0,[],2026-04-16T19:43:03.817765
94:52:f3:bd:62:d5,pholi,3.6,3600.0,0.0,3600.0,25633431552,17803300864,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,10240,13,423,0,[],2026-04-16T19:43:06.133562
94:52:f3:bd:62:d5,pholi,2.3,3600.0,0.0,3600.0,25633431552,17808445440,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,12288,12,560,73,[],2026-04-16T19:43:08.485732
94:52:f3:bd:62:d5,pholi,2.8,3600.0,0.0,3600.0,25633431552,17805959168,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,8192,28672,13,706,0,[],2026-04-16T19:43:10.858201
94:52:f3:bd:62:d5,pholi,5.7,3600.0,0.0,3600.0,25633431552,17799651328,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,28672,11,705,37,[],2026-04-16T19:43:13.182902
94:52:f3:bd:62:d5,pholi,5.5,3600.0,0.0,3600.0,25633431552,17802821632,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,43008,13,423,0,[],2026-04-16T19:43:15.508059
94:52:f3:bd:62:d5,pholi,4.7,3600.0,0.0,3600.0,25633431552,17796681728,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,22528,22528,12,453,23,[],2026-04-16T19:43:17.838943
94:52:f3:bd:62:d5,pholi,5.1,3600.0,0.0,3600.0,25633431552,17811709952,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,38912,11,5898,0,[],2026-04-16T19:43:20.226554
94:52:f3:bd:62:d5,pholi,8.5,3600.0,0.0,3600.0,25633431552,17814163456,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912541184,445250359296,55.4,0,81920,11,1293,2207,[],2026-04-16T19:43:22.619516
94:52:f3:bd:62:d5,pholi,9.7,3600.0,0.0,3600.0,25633431552,17812357120,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912541184,445250359296,55.4,0,83968,12,3004,3028,[],2026-04-16T19:43:24.962617
94:52:f3:bd:62:d5,pholi,7.8,3600.0,0.0,3600.0,25633431552,17806245888,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912557568,445250342912,55.4,0,49152,14,2547,2936,[],2026-04-16T19:43:27.282556
94:52:f3:bd:62:d5,pholi,6.0,3600.0,0.0,3600.0,25633431552,17807147008,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912557568,445250342912,55.4,0,59392,12,2795,6136,[],2026-04-16T19:43:29.630034
94:52:f3:bd:62:d5,pholi,8.8,3600.0,0.0,3600.0,25633431552,17802547200,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912557568,445250342912,55.4,8192,178176,13,289,143,[],2026-04-16T19:43:31.989642
94:52:f3:bd:62:d5,pholi,5.2,3600.0,0.0,3600.0,25633431552,17806573568,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553913090048,445249810432,55.4,16384,124928,16,2950,2533,[],2026-04-16T19:43:34.430657
94:52:f3:bd:62:d5,pholi,8.3,3600.0,0.0,3600.0,25633431552,17797713920,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553913090048,445249810432,55.4,57344,219136,12,2598,1770,[],2026-04-16T19:43:36.767450
94:52:f3:bd:62:d5,pholi,7.9,3600.0,0.0,3600.0,25633431552,17783152640,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553913098240,445249802240,55.4,0,81920,18,2743,4981,[],2026-04-16T19:43:39.094859
94:52:f3:bd:62:d5,pholi,4.1,3600.0,0.0,3600.0,25633431552,17795153920,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553913102336,445249798144,55.4,8192,24576,13,60,0,[],2026-04-16T19:43:41.439547
94:52:f3:bd:62:d5,pholi,4.7,3600.0,0.0,3600.0,25633431552,17804447744,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553913102336,445249798144,55.4,0,43008,13,134,3585,[],2026-04-16T19:43:43.754717
94:52:f3:bd:62:d5,pholi,5.4,3600.0,0.0,3600.0,25633431552,17788350464,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553913102336,445249798144,55.4,0,73728,20,3377,3399,[],2026-04-16T19:43:46.107816
94:52:f3:bd:62:d5,pholi,8.2,3600.0,0.0,3600.0,25633431552,17795846144,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553913102336,445249798144,55.4,32768,251904,13,482,4158,[],2026-04-16T19:43:48.417644
94:52:f3:bd:62:d5,pholi,5.7,3600.0,0.0,3600.0,25633431552,17790078976,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553913102336,445249798144,55.4,8192,145408,11,6066,6005,[],2026-04-16T19:43:50.730721
94:52:f3:bd:62:d5,pholi,5.4,3600.0,0.0,3600.0,25633431552,17792417792,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553913106432,445249794048,55.4,0,61440,12,3070,3847,[],2026-04-16T19:43:53.153566
94:52:f3:bd:62:d5,pholi,7.4,3600.0,0.0,3600.0,25633431552,17801596928,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553913106432,445249794048,55.4,49152,57344,11,758,5774,[],2026-04-16T19:43:55.463202
94:52:f3:bd:62:d5,pholi,5.3,3600.0,0.0,3600.0,25633431552,17816666112,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553913110528,445249789952,55.4,24576,135168,13,785,1779,[],2026-04-16T19:43:57.776584
94:52:f3:bd:62:d5,pholi,9.5,3600.0,0.0,3600.0,25633431552,17809444864,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553913114624,445249785856,55.4,0,14336,13,2611,1729,[],2026-04-16T19:44:02.982687
94:52:f3:bd:62:d5,pholi,14.5,3600.0,0.0,3600.0,25633431552,17585278976,31.4,1811939328,0,1811939328,0,0,0.0,999162900480,553949028352,445213872128,55.4,1758464,9203712,9,4386623,99351,[],2026-04-16T19:44:40.060565
94:52:f3:bd:62:d5,pholi,5.6,3600.0,0.0,3600.0,25633431552,17587961856,31.4,1811939328,0,1811939328,0,0,0.0,999162900480,553968947200,445193953280,55.4,49152,7751680,15,4628263,103282,[],2026-04-16T19:44:42.492960
94:52:f3:bd:62:d5,pholi,5.0,3600.0,0.0,3600.0,25633431552,17582116864,31.4,1811939328,0,1811939328,0,0,0.0,999162900480,553987821568,445175078912,55.4,679936,10205184,19,4576487,102148,[],2026-04-16T19:44:44.876832
94:52:f3:bd:62:d5,pholi,5.8,3600.0,0.0,3600.0,25633431552,17589805056,31.4,1811939328,0,1811939328,0,0,0.0,999162900480,554007150592,445155749888,55.4,8192,8796160,12,4919182,114820,[],2026-04-16T19:44:47.254868
94:52:f3:bd:62:d5,pholi,10.9,3600.0,0.0,3600.0,25633431552,17585975296,31.4,1811939328,0,1811939328,0,0,0.0,999162900480,554028134400,445134766080,55.4,532480,10407936,7,4793197,109843,[],2026-04-16T19:44:49.600058
94:52:f3:bd:62:d5,pholi,10.0,3600.0,0.0,3600.0,25633431552,17978363904,29.9,1811939328,0,1811939328,0,0,0.0,999162900480,554118684672,445044215808,55.5,57344,126976,13,636,167,[],0,2026-04-16T19:47:09.709617
94:52:f3:bd:62:d5,pholi,3.7,3600.0,0.0,3600.0,25633431552,17972797440,29.9,1811939328,0,1811939328,0,0,0.0,999162900480,554118684672,445044215808,55.5,0,38912,13,149,97,[],0,2026-04-16T19:47:12.047922
94:52:f3:bd:62:d5,pholi,3.2,3600.0,0.0,3600.0,25633431552,17979195392,29.9,1811939328,0,1811939328,0,0,0.0,999162900480,554118684672,445044215808,55.5,0,8192,13,0,0,[],0,2026-04-16T19:47:14.352877
94:52:f3:bd:62:d5,pholi,9.4,3600.0,0.0,3600.0,25633431552,18031955968,29.7,1811939328,0,1811939328,0,0,0.0,999162900480,554118787072,445044113408,55.5,0,14336,12,532,1454,"[{'username': 'PHTIAMU\\pholi', 'memory_info': pmem(rss=773582848, vms=754057216, num_page_faults=1925150, peak_wset=1026646016, wset=773582848, peak_paged_pool=606008, paged_pool=600392, peak_nonpaged_pool=180184, nonpaged_pool=81608, pagefile=754057216, peak_pagefile=1008840704, private=754057216), 'exe': 'C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'cmdline': ['C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'c:\\Users\\pholi\\.vscode\\extensions\\ms-python.vscode-pylance-2026.2.1\\dist\\server.bundle.js', '--cancellationReceive=file:592b421c7f7c7061b11ec5612f1c8e5355dcb80744', '--node-ipc', '--clientProcessId=3256'], 'cpu_percent': 0.0, 'status': 'running', 'num_threads': 13, 'pid': 14100, 'name': 'Code.exe', 'cpu_times': pcputimes(user=80.15625, system=13.25, children_user=0.0, children_system=0.0), 'create_time': 1776378598.8346457, 'memory_percent': 3.017866907248486}]",1,2026-04-16T19:47:39.478558
94:52:f3:bd:62:d5,pholi,5.9,3600.0,0.0,3600.0,25633431552,18015281152,29.7,1811939328,0,1811939328,0,0,0.0,999162900480,554118791168,445044109312,55.5,8192,229376,12,247,88,"[{'username': 'PHTIAMU\\pholi', 'memory_info': pmem(rss=773582848, vms=754057216, num_page_faults=1925150, peak_wset=1026646016, wset=773582848, peak_paged_pool=606008, paged_pool=600392, peak_nonpaged_pool=180184, nonpaged_pool=81608, pagefile=754057216, peak_pagefile=1008840704, private=754057216), 'exe': 'C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'cmdline': ['C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'c:\\Users\\pholi\\.vscode\\extensions\\ms-python.vscode-pylance-2026.2.1\\dist\\server.bundle.js', '--cancellationReceive=file:592b421c7f7c7061b11ec5612f1c8e5355dcb80744', '--node-ipc', '--clientProcessId=3256'], 'cpu_percent': 0.0, 'status': 'running', 'num_threads': 13, 'pid': 14100, 'name': 'Code.exe', 'cpu_times': pcputimes(user=80.15625, system=13.25, children_user=0.0, children_system=0.0), 'create_time': 1776378598.8346457, 'memory_percent': 3.017866907248486}]",1,2026-04-16T19:47:41.778178
94:52:f3:bd:62:d5,pholi,2.0,3600.0,0.0,3600.0,25633431552,18017095680,29.7,1811939328,0,1811939328,0,0,0.0,999162900480,554118791168,445044109312,55.5,0,10240,13,179,201,"[{'username': 'PHTIAMU\\pholi', 'memory_info': pmem(rss=773582848, vms=754057216, num_page_faults=1925150, peak_wset=1026646016, wset=773582848, peak_paged_pool=606008, paged_pool=600392, peak_nonpaged_pool=180184, nonpaged_pool=81608, pagefile=754057216, peak_pagefile=1008840704, private=754057216), 'exe': 'C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'cmdline': ['C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'c:\\Users\\pholi\\.vscode\\extensions\\ms-python.vscode-pylance-2026.2.1\\dist\\server.bundle.js', '--cancellationReceive=file:592b421c7f7c7061b11ec5612f1c8e5355dcb80744', '--node-ipc', '--clientProcessId=3256'], 'cpu_percent': 0.0, 'status': 'running', 'num_threads': 13, 'pid': 14100, 'name': 'Code.exe', 'cpu_times': pcputimes(user=80.15625, system=13.25, children_user=0.0, children_system=0.0), 'create_time': 1776378598.8346457, 'memory_percent': 3.017866907248486}]",1,2026-04-16T19:47:44.084640
94:52:f3:bd:62:d5,pholi,5.5,3600.0,0.0,3600.0,25633431552,18011922432,29.7,1811939328,0,1811939328,0,0,0.0,999162900480,554118791168,445044109312,55.5,16384,8192,11,60,23,"[{'username': 'PHTIAMU\\pholi', 'memory_info': pmem(rss=782041088, vms=762302464, num_page_faults=1929775, peak_wset=1026646016, wset=782041088, peak_paged_pool=606008, paged_pool=600392, peak_nonpaged_pool=180184, nonpaged_pool=81608, pagefile=762302464, peak_pagefile=1008840704, private=762302464), 'exe': 'C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'cmdline': ['C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'c:\\Users\\pholi\\.vscode\\extensions\\ms-python.vscode-pylance-2026.2.1\\dist\\server.bundle.js', '--cancellationReceive=file:592b421c7f7c7061b11ec5612f1c8e5355dcb80744', '--node-ipc', '--clientProcessId=3256'], 'cpu_percent': 5.3, 'status': 'running', 'num_threads': 13, 'pid': 14100, 'name': 'Code.exe', 'cpu_times': pcputimes(user=80.28125, system=13.25, children_user=0.0, children_system=0.0), 'create_time': 1776378598.8346457, 'memory_percent': 3.0508638159255064}]",1,2026-04-16T19:47:46.426323
94:52:f3:bd:62:d5,pholi,9.4,3600.0,0.0,3600.0,25633431552,18012594176,29.7,1811939328,0,1811939328,0,0,0.0,999162900480,554118795264,445044105216,55.5,24576,143360,12,286,8224,"[{'username': 'PHTIAMU\\pholi', 'memory_info': pmem(rss=781950976, vms=762204160, num_page_faults=1929776, peak_wset=1026646016, wset=781950976, peak_paged_pool=606008, paged_pool=600392, peak_nonpaged_pool=180184, nonpaged_pool=81608, pagefile=762204160, peak_pagefile=1008840704, private=762204160), 'exe': 'C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'cmdline': ['C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'c:\\Users\\pholi\\.vscode\\extensions\\ms-python.vscode-pylance-2026.2.1\\dist\\server.bundle.js', '--cancellationReceive=file:592b421c7f7c7061b11ec5612f1c8e5355dcb80744', '--node-ipc', '--clientProcessId=3256'], 'cpu_percent': 0.0, 'status': 'running', 'num_threads': 13, 'pid': 14100, 'name': 'Code.exe', 'cpu_times': pcputimes(user=80.28125, system=13.25, children_user=0.0, children_system=0.0), 'create_time': 1776378598.8346457, 'memory_percent': 3.0505122750098193}]",1,2026-04-16T19:47:48.765281
94:52:f3:bd:62:d5,pholi,7.8,3600.0,0.0,3600.0,25633431552,18004090880,29.8,1811939328,0,1811939328,0,0,0.0,999162900480,554118795264,445044105216,55.5,90112,327680,12,2692,0,"[{'username': 'PHTIAMU\\pholi', 'memory_info': pmem(rss=781950976, vms=762208256, num_page_faults=1930104, peak_wset=1026646016, wset=781950976, peak_paged_pool=606008, paged_pool=600392, peak_nonpaged_pool=180184, nonpaged_pool=81608, pagefile=762208256, peak_pagefile=1008840704, private=762208256), 'exe': 'C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'cmdline': ['C:\\Users\\pholi\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe', 'c:\\Users\\pholi\\.vscode\\extensions\\ms-python.vscode-pylance-2026.2.1\\dist\\server.bundle.js', '--cancellationReceive=file:592b421c7f7c7061b11ec5612f1c8e5355dcb80744', '--node-ipc', '--clientProcessId=3256'], 'cpu_percent': 0.7, 'status': 'running', 'num_threads': 13, 'pid': 14100, 'name': 'Code.exe', 'cpu_times': pcputimes(user=80.296875, system=13.25, children_user=0.0, children_system=0.0), 'create_time': 1776378598.8346457, 'memory_percent': 3.0505122750098193}]",1,2026-04-16T19:47:51.111353
